Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Mascheroni, MA; Irrazábal, E";;"Beltran, VMP; Paz, LP";;"Agustin Mascheroni, Maximiliano; Irrazabal, Emanuel";;;A Design Pattern Approach for RESTful tests: a case study;OBRAS COLECTIVAS EN CIENCIAS DE LA COMPUTACION;;;;;12th Colombian Conference on Computing (CCC);SEP 19-22, 2017;Cali, COLOMBIA;Colombian Comp Soc,Univ Autonoma Occidente,Univ San Buenaventura;;;;The REST architectural style was introduced as an alternative to the design of web services. It is much simpler than SOAP and WSDL-based services, so many companies have started to use it. This makes the tests carried out on this architecture become more important. Even though there are many tools available, only a few of them can be incorporated to a process of continuous software development, where time is a key factor. In this paper, we present a design pattern for RESTful tests, based on the principles of this architecture and on the unit test basics. The approach has been implemented in three companies of software development as a framework. It has been proved that there has been a 90 % decrease in the time spent during automated regressions and refactoring in a continuous integration environment. Finally, the use of tools to execute automated tests has given rise to other kinds of improvements, such as the automatic generation of reports.;;;;;;;;;;;;;;;;;;;;;978-958-5415-19-5;;;;2018;;;;;;;257;268;;;;;;;;;;;;;;;;WOS:000483360200017;
C;"Queirós, R; Portela, F; Machado, J";;"Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S";;"Queiros, Ricardo; Portela, Filipe; Machado, Jose";;;Magni - A Framework for Developing Context-Aware Mobile Applications;RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 3;Advances in Intelligent Systems and Computing;;;;World Conference on Information Systems and Technologies (WorldCIST);APR 11-13, 2017;Madeira, PORTUGAL;;;;;The advent of Internet and ubiquitous technologies has been fostering the appearance of intelligent mobile applications aware of their environment and the objects nearby. Despite its popularity, mobile developers are often required to write large and disorganized amounts of code, mixing UI with business logic and interact, in a ad-hoc fashion, with sensor devices and services. These habits hinder the code maintenance, refactoring and testing, while negatively influencing the consistency and performance of mobile applications. In this paper we present Magni as an abstract framework for the design and implementation of personalized and context-aware mobile applications. The corner stone of the framework is its architectural pattern based on the Model-View-Presenter pattern in the UI layer relying in REST services the majority of the app features. This paradigm fosters the modular design, implementing the separation of concerns concept and allowing an easier implementation of unit tests. In order to validate the framework, we present a prototype for an healthcare automotive app. The main goal of the app is to facilitate the access to health related points of interest such as hospitals, clinics and pharmacies.;;;;;"Machado, José/B-5887-2009; Portela, Filipe/G-5324-2012; Queirós, Ricardo F./N-4055-2015";"Machado, José/0000-0003-4121-6169; Portela, Filipe/0000-0003-2181-6837; Queirós, Ricardo F./0000-0003-1780-4753; Queiros, Ricardo/0000-0002-1985-6285";;;;;;;;;;;;;2194-5357;2194-5365;"978-3-319-56541-5; 978-3-319-56540-8";;;;2017;571;;;;;;417;426;;10.1007/978-3-319-56541-5_43;http://dx.doi.org/10.1007/978-3-319-56541-5_43;;;;;;;;;;;;;WOS:000425539200043;
C;"Zhou, W; Guan, L; Liu, P; Zhang, YQ";;;USENIX Assoc;"Zhou, Wei; Guan, Le; Liu, Peng; Zhang, Yuqing";;;Automatic Firmware Emulation through Invalidity-guided Knowledge Inference;PROCEEDINGS OF THE 30TH USENIX SECURITY SYMPOSIUM;;;;;30th USENIX Security Symposium;AUG 11-13, 2021;ELECTR NETWORK;USENIX Assoc;;;;Emulating firmware for microcontrollers is challenging due to the tight coupling between the hardware and firmware. This has greatly impeded the application of dynamic analysis tools to firmware analysis. The state-of-the-art work automatically models unknown peripherals by observing their access patterns, and then leverages heuristics to calculate the appropriate responses when unknown peripheral registers are accessed. However, we empirically found that this approach and the corresponding heuristics are frequently insufficient to emulate firmware. In this work, we propose a new approach called mu Emu to emulate firmware with unknown peripherals. Unlike existing work that attempts to build a general model for each peripheral, our approach learns how to correctly emulate firmware execution at individual peripheral access points. It takes the image as input and symbolically executes it by representing unknown peripheral registers as symbols. During symbolic execution, it infers the rules to respond to unknown peripheral accesses. These rules are stored in a knowledge base, which is referred to during the dynamic firmware analysis. mu Emu achieved a passing rate of 95% in a set of unit tests for peripheral drivers without any manual assistance. We also evaluated mu Emu with real-world firmware samples and new bugs were discovered.;;;;;"Zhou, Wei/HJP-7784-2023; Liu, Peng/A-4255-2013";"Zhou, Wei/0000-0001-7834-0839;";;;;;;;;;;;;;;;978-1-939133-24-3;;;;2021;;;;;;;2007;2024;;;;;;;;;;;;;;;;WOS:000722006802012;
J;"Yamin, HY; El-Dwairi, Q; Shahidehpour, SM";;;;"Yamin, H. Y.; El-Dwairi, Q.; Shahidehpour, S. M.";;;A new approach for GenCos profit based unit commitment in day-ahead competitive electricity markets considering reserve uncertainty;INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;;;;;;;;;;;;This paper presents a new approach for GenCos Profit Based Unit Commitment (GPBUC) in day-ahead competitive electricity markets. Generation, spinning and non-spinning reserves are considered in the proposed formulation. The estimated probability that spinning and non-spinning reserves are called and generated is also considered in the formulation to simulate the reserve uncertainty. The artificial neural network (ANN) is applied for forecasting the reserve probability considering line limits, line and generator outages, market prices, bidding strategy, load and reserves patterns. Fuel and emission constraints are included in the model. A hybrid method between Lagrangian relaxation (LR) and evolutionary programming (EP) is applied to solve the proposed GPBUC problem. The proposed approach is applied to a 36 unit test system and the results are compared with those obtained from other approaches. (c) 2007 Elsevier Ltd. All rights reserved.;;;;;"Shahidehpour, Mohammad/A-9942-2012; Yamin, Hatim Y/A-2662-2009";"Shahidehpour, Mohammad/0000-0002-8994-1688;";;;;;;;;;;;;;0142-0615;1879-3517;;;;OCT;2007;29;8;;;;;609;616;;10.1016/j.ijepes.2006.09.004;http://dx.doi.org/10.1016/j.ijepes.2006.09.004;;;;;;;;;;;;;WOS:000249714800005;
C;"Steadman, B; Pombo, T; Madison, I; Shively, J; Kirkland, L";;;"IEEE; IEEE";"Steadman, B; Pombo, T; Madison, I; Shively, J; Kirkland, L";;;Reducing no fault found using statistical processing and an expert system;2002 IEEE AUTOTESTCON PROCEEEDINGS, SYSTEMS READINESS TECHNOLOGY CONFERENCE;;;;;38th Annual Autotestcon Conference;OCT 14-17, 2002;HUNTSVILLE, AL;IEEE Aerosp & Electr Syst Soc,IEEE Instrumentat & Measurement Soc,IEEE Hunstville Sect;;;;This paper describes a method for capturing avionics test failure results from Automated Test Equipment (ATE) and statistically processing this data to provide decision support for software engineers in reducing No Fault Found (NFF) cases at various testing levels. NFFs have plagued the avionics test and repair environment for years at enormous cost to readiness and logistics support. The costs in terms of depot repair and user exchange dollars that are wasted annually for unresolved cases are graphically illustrated. A diagnostic data model is presented, which automatically captures, archives and statistically processes test parameters and failure results which are then used to determine if an NFF at the next testing level resulted from a test anomaly. The model includes statistical process methods, which produce historical trend patterns for each part and serial numbered unit tested. An Expert System is used to detect statistical pattern changes and stores that information in a knowledge base. A Decision Support System (DSS) provides advisories for engineers and technicians by combining the statistical test pattern with unit performance changes in the knowledge base. Examples of specific F-16 NFF reduction results are provided.;;;;;;;;;;;;;;;;;;;;;0-7803-7441-X;;;;2002;;;;;;;872;878;;;;;;;;;;;;;;;;WOS:000179852000078;
J;"Darlington, R; Thompson, SC; Forsyth, JRL";;;;"Darlington, R; Thompson, SC; Forsyth, JRL";;;Is HIV screening being requested appropriately? The experience of a Victorian public health laboratory;AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH;;;;;;;;;;;;From the start of clinical testing for human immunodeficiency virus (HIV) antibody in 1985 until the end of June 1994, the Microbiological Diagnostic Unit tested 134 346 serum samples from 109 391 individuals, identifying 672 as infected. A suitable database, using coded identities, was established from the beginning. Because the sera came from a variety of clinical settings, it was possible to extract information about patterns of requests for tests and about the yield of seropositive cases. The data were able to highlight factors associated with high rates of positive tests that can be lost in amalgamated statewide data. The discovery of HIV-positive females was sporadic and there was a much lower detection rate than from testing males. While males were most commonly diagnosed through specialist venereology services, 61 per cent of diagnoses in females were through nonspecialised practices, often those without previous experience in diagnosis and management of HIV infection. Despite some individual exceptions, the requesting of Hr tests appears generally to have been justifiable (particularly in view of the direction of official preventive campaigns) and not profligate. Overall, where practice was unsatisfactory, this lay less in thoughtless ordering of tests than in failing to include with the specimen the elementary, but vital, epidemiological information requested.;;;;;Thompson, Sandra/H-5955-2014;Thompson, Sandra/0000-0003-0327-7155;;;;;;;;;;;;;1326-0200;;;;;JUN;1996;20;3;;;;;247;253;;10.1111/j.1467-842X.1996.tb01024.x;http://dx.doi.org/10.1111/j.1467-842X.1996.tb01024.x;;;;;;;;8768413;;;;;WOS:A1996UY09100007;
J;"Görgen, K; Hebart, MN; Allefeld, C; Haynes, JD";;;;"Goergen, Kai; Hebart, Martin N.; Allefeld, Carsten; Haynes, John-Dylan";;;The same analysis approach: Practical protection against the pitfalls of novel neuroimaging analysis methods;NEUROIMAGE;;;;;;;;;;;;Standard neuroimaging data analysis based on traditional principles of experimental design, modelling, and statistical inference is increasingly complemented by novel analysis methods, driven e.g. by machine learning methods. While these novel approaches provide new insights into neuroimaging data, they often have unexpected properties, generating a growing literature on possible pitfalls. We propose to meet this challenge by adopting a habit of systematic testing of experimental design, analysis procedures, and statistical inference. Specifically, we suggest to apply the analysis method used for experimental data also to aspects of the experimental design, simulated confounds, simulated null data, and control data. We stress the importance of keeping the analysis method the same in main and test analyses, because only this way possible confounds and unexpected properties can be reliably detected and avoided. We describe and discuss this Same Analysis Approach in detail, and demonstrate it in two worked examples using multivariate decoding. With these examples, we reveal two sources of error: A mismatch between counterbalancing (crossover designs) and cross-validation which leads to systematic below-chance accuracies, and linear decoding of a nonlinear effect, a difference in variance.;;;;;Haynes, John-Dylan/Q-1148-2016;"Haynes, John-Dylan/0000-0003-1786-6954; Hebart, Martin/0000-0001-7257-428X; Gorgen, Kai/0000-0002-4711-9629";;;;;;;;;;;;;1053-8119;1095-9572;;;;OCT 15;2018;180;;A;;;;19;30;;10.1016/j.neuroimage.2017.12.083;http://dx.doi.org/10.1016/j.neuroimage.2017.12.083;;;;;;;;29288130;;;;;WOS:000443268900003;
C;"Gu, QQ; Ke, W; Yang, YL";;;IEEE;"Gu, Qiqi; Ke, Wei; Yang, Yilong";;;Transformation from MVC Applications to Smart Contracts;2022 IEEE 20TH INTERNATIONAL CONFERENCE ON EMBEDDED AND UBIQUITOUS COMPUTING, EUC;;;;;20th IEEE International Conference on Embedded and Ubiquitous Computing (EUC);DEC 09-11, 2022;Wuhan, PEOPLES R CHINA;IEEE,IEEE Comp Soc,Huazhong Univ Sci & Technol;;;;A smart contract is a program running on a blockchain platform. Smart devices send data to smart contracts or change their own status based on smart contracts. Businesses want to use smart devices and smart contracts to streamline workflow because smart contracts reduce the need in trusted intermediators and cut down enforcement costs. However, developing smart contract applications is challenging due to different memory models, different interaction models, and a dearth of supporting tools and libraries. When developers are asked to reimplement conventional applications to smart contracts, it is thus ideal to automatically transform them, avoiding manual labor, as well as ensuring reliability and security. This paper contributes a set of rules to transform conventional applications in the Model-View-Controller (MVC) pattern into smart contracts running on Hyperledger Fabric, a blockchain platform preferred by businesses. Major transformations are performed in the model, while in the controller, model calls are replaced by smart contract calls. The source application and the target smart contract are all written in Java. Our rules add read-your-writes consistency that Hyperledger Fabric does not natively support. Runtime pre- and post-condition checking in the original application is supported in the transformed smart contract. We evaluated our rules on CoCoME and other MVC applications, and all code ran correctly and passed unit tests.;;;;;;Ke, Wei/0000-0003-0952-0961;;;;;;;;;;;;;;;979-8-3503-9635-5;;;;2022;;;;;;;104;111;;10.1109/EUC57774.2022.00025;http://dx.doi.org/10.1109/EUC57774.2022.00025;;;;;;;;;;;;;WOS:000982299100016;
J;"Mir, J; Kasim, S; Mahdin, H; Saedudin, RR; Hassan, R; Ramlan, R";;;;"Mir, Jamaluddin; Kasim, Shahreen; Mahdin, Hairulnizam; Saedudin, Rd Rohmat; Hassan, Rohayanti; Ramlan, Rohaizan";;;A proposed formulation for multi-objective renewable economic load dispatch;JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING;;;;;;;;;;;;The economic development, rising global temperatures, urbanization, and rapid population increase are some prominent factors that have resulted in increased electricity demand worldwide. The burning of fossil fuels to meet the industrial electricity demand is leading to deleterious environmental effects. Economic load dispatch (ELD) is an optimization problem that determines an optimum way in terms of cost-effectiveness and emission minimization, for generating power by utilizing the electricity generation resources. Global climatic concerns are driving the researchers to spread the scope of ELD and include unconventional and renewable sources. This research work proposes a combination of three major renewable energy sources with thermal power sources (solar, wind and hydro). The proposed objective function includes a large number of major constraints related to each of the included sources which have not been combined before. The pattern search algorithm has been implemented on IEEE 40 unit test system combining wind, solar and hydro power generating units to observe the results. The results are also compared with the 140 unit Korean power generation model and in addition to several similar systems. Simulation results show that the problem formulation and inclusion of respective constraints bring authenticity to the system and produce accurate results.;;;;;;"kasim, shahreen/0000-0002-4180-4377; Jamaluddin, Mir/0000-0002-7416-8346";;;;;;;;;;;;;1868-5137;1868-5145;;;;2022 FEB 8;2022;;;;;;;;;;10.1007/s12652-021-03691-y;http://dx.doi.org/10.1007/s12652-021-03691-y;;FEB 2022;;;;;;;;;;;WOS:000752761000002;
C;"Läufer, K; O'Sullivan, J; Thiruvathukal, GK";;;Assoc Comp Machinery;"Laufer, Konstantin; O'Sullivan, John; Thiruvathukal, George K.";;;Tests as Maintainable Assets Via Auto-generated Spies A case study involving the Scala collections library's Iterator trait;SCALA'19: PROCEEDINGS OF THE 10TH ACM SIGPLAN INTERNATIONAL SYMPOSIUM ON SCALA;;;;;10th ACM SIGPLAN International Symposium on Scala (Scala);JUL 17, 2019;London, ENGLAND;ACM SIGPLAN,Assoc Comp Machinery;;;;In testing stateful abstractions, it is often necessary to record interactions, such as method invocations, and express assertions over these interactions. Following the Test Spy design pattern, we can reify such interactions programmatically through additional mutable state. Alternatively, a mocking framework, such as Mockito, can automatically generate test spies that allow us to record the interactions and express our expectations in a declarative domain-specific language. According to our study of the test code for Scala's Iterator trait, the latter approach can lead to a significant reduction of test code complexity in terms of metrics such as code size (in some cases over 70% smaller), cyclomatic complexity, and amount of additional mutable state required. In this tools paper, we argue that the resulting test code is not only more maintainable, readable, and intentional, but also a better stylistic match for the Scala community than manually implemented, explicitly stateful test spies.;;;;;;Laufer, Konstantin/0000-0002-7548-0876;;;;;;;;;;;;;;;978-1-4503-6824-7;;;;2019;;;;;;;17;21;;10.1145/3337932.3338814;http://dx.doi.org/10.1145/3337932.3338814;;;;;;;;;;;;;WOS:000559753800003;
J;"Xenoulis, G; Psarakis, M; Gizopoulos, D; Paschalis, A";;;;"Xenoulis, George; Psarakis, Mihalis; Gizopoulos, Dimitris; Paschalis, Antonis";;;Testability analysis and scalable test generation for high-speed floating-point units;IEEE TRANSACTIONS ON COMPUTERS;;;;;;;;;;;;High-speed datapaths in microprocessors and embedded processors contain complex floating-point ( FP) arithmetic units which have a critical role in the processor's performance. Although the FP units' complex structure consists of classic integer arithmetic components, the embedded components encounter serious testability problems due to their limited accessibility from the FP unit ports and testability loss due to FP unit inherent operations, such as rounding and normalization. In this paper, we analyze the testability problems and present scalable test generation for FP units using as a demonstration vehicle the popular, high-speed, two-path architecture of the most complex unit, the FP adder. The key feature of the presented methodology is the identification of testability conditions that guarantee effective test pattern application and fault propagation for each of the components of the FP adder. The identified test conditions can be utilized with respect to any fault model and are independent of the internal structure and the size of the components. Thus, they can be applied to FP adders of various exponent and significand sizes ( single, double, and custom precision), as well as to other types of FP units, which also consist of classic integer arithmetic components similarly interconnected.;;;;;"PSARAKIS, MIHALIS/AAR-3991-2021; Gizopoulos, Dimitris/ABD-7951-2021";"Gizopoulos, Dimitris/0000-0002-1613-9061; Paschalis, Antonios/0000-0002-6236-4227";;;;;;;;;;;;;0018-9340;1557-9956;;;;NOV;2006;55;11;;;;;1449;U24;;10.1109/TC.2006.187;http://dx.doi.org/10.1109/TC.2006.187;;;;;;;;;;;;;WOS:000240634900014;
J;"Grbac, TG; Runeson, P; HuljeniAç, D";;;;"Grbac, Tihana Galinac; Runeson, Per; Huljenic, Darko";;;A quantitative analysis of the unit verification perspective on fault distributions in complex software systems: an operational replication;SOFTWARE QUALITY JOURNAL;;;;;;;;;;;;Unit verification, including software inspections and unit tests, is usually the first code verification phase in the software development process. However, principles of unit verification are weakly explored, mostly due to the lack of data, since unit verification data are rarely systematically collected and only a few studies have been published with such data from industry. Therefore, we explore the theory of fault distributions, originating in the quantitative analysis by Fenton and Ohlsson, in the weakly explored context of unit verification in large-scale software development. We conduct a quantitative case study on a sequence of four development projects on consecutive releases of the same complex software product line system for telecommunication exchanges. We replicate the operationalization from earlier studies, analyzed hypotheses related to the Pareto principle of fault distribution, persistence of faults, effects of module size, and quality in terms of fault densities, however, now from the perspective of unit verification. The patterns in unit verification results resemble those of later verification phases, e.g., regarding the Pareto principle, and may thus be used for prediction and planning purposes. Using unit verification results as predictors may improve the quality and efficiency of software verification.;;;;;"Grbac, Tihana Galinac/AAU-8704-2021; Galinac Grbac, Tihana/D-7048-2016; Runeson, Per/H-5113-2019; Grbac, Tihana Galinac/K-2439-2019";"Galinac Grbac, Tihana/0000-0002-4351-4082; Runeson, Per/0000-0003-2795-4851;";;;;;;;;;;;;;0963-9314;1573-1367;;;;DEC;2016;24;4;;;;;967;995;;10.1007/s11219-015-9273-7;http://dx.doi.org/10.1007/s11219-015-9273-7;;;;;;;;;;;;;WOS:000388954000006;
J;"Çalikli, G; Bener, AB";;;;"Calikli, Gul; Bener, Ayse Basar";;;Influence of confirmation biases of developers on software quality: an empirical study;SOFTWARE QUALITY JOURNAL;;;;;;;;;;;;The thought processes of people have a significant impact on software quality, as software is designed, developed and tested by people. Cognitive biases, which are defined as patterned deviations of human thought from the laws of logic and mathematics, are a likely cause of software defects. However, there is little empirical evidence to date to substantiate this assertion. In this research, we focus on a specific cognitive bias, confirmation bias, which is defined as the tendency of people to seek evidence that verifies a hypothesis rather than seeking evidence to falsify a hypothesis. Due to this confirmation bias, developers tend to perform unit tests to make their program work rather than to break their code. Therefore, confirmation bias is believed to be one of the factors that lead to an increased software defect density. In this research, we present a metric scheme that explores the impact of developers' confirmation bias on software defect density. In order to estimate the effectiveness of our metric scheme in the quantification of confirmation bias within the context of software development, we performed an empirical study that addressed the prediction of the defective parts of software. In our empirical study, we used confirmation bias metrics on five datasets obtained from two companies. Our results provide empirical evidence that human thought processes and cognitive aspects deserve further investigation to improve decision making in software development for effective process management and resource allocation.;;;;;Basar, Ayse/ABF-9265-2020;"Basar, Ayse/0000-0003-4934-8326; Calikli, Gul/0000-0003-4578-1747";;;;;;;;;;;;;0963-9314;1573-1367;;;;JUN;2013;21;2;;;;;377;416;;10.1007/s11219-012-9180-0;http://dx.doi.org/10.1007/s11219-012-9180-0;;;;;;;;;;;;;WOS:000316746700007;
J;"Anand, CK; Kahl, W";;;;"Anand, Christopher Kumar; Kahl, Wolfram";;;An Optimized Cell BE Special Function Library Generated by Coconut;IEEE TRANSACTIONS ON COMPUTERS;;;;;;;;;;;;Coconut, a tool for developing high-assurance, high-performance kernels for scientific computing, contains an extensible domain-specific language (DSL) embedded in Haskell. The DSL supports interactive prototyping and unit testing, simplifying the process of designing efficient implementations of common patterns. Unscheduled C and scheduled assembly language output are supported. Using the patterns, even nonexpert users can write efficient function implementations, leveraging special hardware features. A production-quality library of elementary functions for the Cell BE SPU compute engines has been developed. Coconut-generated and -scheduled vector functions were more than four times faster than commercially distributed functions written in C with intrinsics (a nicer syntax for in-line assembly), wrapped in loops and scheduled by spuxIc. All Coconut functions were faster, but the difference was larger for hard-to-approximate functions for which register-level SIMD lookups made a bigger difference. Other helpful features in the language include facilities for translating interval and polynomial descriptions between GHCi, a Haskell interpreter used to prototype in the DSL, and Maple, used for exploration and minimax polynomial generation. This makes it easier to match mathematical properties of the functions with efficient calculational patterns in the SPU ISA. By using single, literate source files, the resulting functions are remarkably readable.;;;;;;;;;;;;;;;;;;;0018-9340;1557-9956;;;;AUG;2009;58;8;;;;;1126;1138;;10.1109/TC.2008.223;http://dx.doi.org/10.1109/TC.2008.223;;;;;;;;;;;;;WOS:000267941900009;
J;"Carriero, VA; Gangemi, A; Mancinelli, ML; Nuzzolese, AG; Presutti, V; Veninata, C";;;;"Carriero, Valentina Anita; Gangemi, Aldo; Mancinelli, Maria Letizia; Nuzzolese, Andrea Giovanni; Presutti, Valentina; Veninata, Chiara";;;Pattern-based design applied to cultural heritage knowledge graphs;SEMANTIC WEB;;;;;;;;;;;;Ontology Design Patterns (ODPs) have become an established and recognised practice for guaranteeing good quality ontology engineering. There are several ODP repositories where ODPs are shared as well as ontology design methodologies recommending their reuse. Performing rigorous testing is recommended as well for supporting ontology maintenance and validating the resulting resource against its motivating requirements. Nevertheless, it is less than straightforward to find guidelines on how to apply such methodologies for developing domain-specific knowledge graphs. ArCo is the knowledge graph of Italian Cultural Heritage and has been developed by using eXtreme Design (XD), an ODP- and test-driven methodology. During its development, XD has been adapted to the need of the CH domain e.g. gathering requirements from an open, diverse community of consumers, a new ODP has been defined and many have been specialised to address specific CH requirements. This paper presents ArCo and describes how to apply XD to the development and validation of a CH knowledge graph, also detailing the (intellectual) process implemented for matching the encountered modelling problems to ODPs. Relevant contributions also include a novel web tool for supporting unit-testing of knowledge graphs, a rigorous evaluation of ArCo, and a discussion of methodological lessons learned during ArCo's development.;;;;;"Gangemi, Aldo/C-7420-2013; Nuzzolese, Andrea Giovanni/S-2298-2016";"Gangemi, Aldo/0000-0001-5568-2684; Carriero, Valentina Anita/0000-0003-1427-3723";;;;;;;;;;;;;1570-0844;2210-4968;;;;;2021;12;2;;;SI;;313;357;;10.3233/SW-200422;http://dx.doi.org/10.3233/SW-200422;;;;;;;;;;;;;WOS:000613905500010;
J;"Zhang, YC; Si, DK; Zhao, B";;;;"Zhang, Yu-Chen; Si, Deng-Kui; Zhao, Bing";;;The Convergence of Sulphur Dioxide (SO2) Emissions Per Capita in China;SUSTAINABILITY;;;;;;;;;;;;As the third-largest SO2 emitter in the world, China is facing mounting domestic and external pressure to tackle the increasingly serious SO2 pollution. Figuring out the convergence and persistence of sulfur dioxide (SO2) emissions matters much for environmental policymakers in China. This study mainly utilizes the Fourier quantile unit root test to survey the convergence of the SO2 emissions per capita in 74 cities of China during the period of December 2014 to June 2019, by conducting five traditional unit root tests and a quantile root unit test as a comparative analysis. The empirical results indicate that the SO2 emissions per capita in 72 out of 74 cities in China are convergent in the sample period. The results also suggest that the unit root behavior of the SO2 emissions per capita in these cities is asymmetrically persistent at different quantiles. For the cities with the convergent SO2 emissions, the government should consider the asymmetric mean-reverting pattern of SO2 emissions when implementing environmental protection policies at different stages. For Hefei and Nanjing, the local governments need to enact stricter environmental protection policies to control the emission of sulfur dioxide.;;;;;"Zhang, Yuchen/GYI-8858-2022; zhang, yu/HNS-5948-2023";;;;;;;;;;;;;;;2071-1050;;;;MAR 1;2020;12;5;;;;;;;1781;10.3390/su12051781;http://dx.doi.org/10.3390/su12051781;;;;;;;;;;;;;WOS:000522470900082;
J;"Mukhopadhyay, S; Hewer, B; Howells, S; Markvardsen, A";;;;"Mukhopadhyay, Sanghamitra; Hewer, Brandon; Howells, Spencer; Markvardsen, Anders";;;A modern approach to QENS data analysis in Mantid;PHYSICA B-CONDENSED MATTER;;;;;;;;;;;;Data analysis of Quasi-elastic Neutron Scattering (QENS) experiments often requires multiple steps involving fitting the elastic and quasi-elastic parts of spectra with several empirical functions and analytical models. Parameters of those models can be interdependent and also dependent on the momentum transfer vector Q. Here we present a modern data analysis interface dedicated for QENS data analysis implemented within the open source software Mantid. The interface has been implemented using the state-of-the-art design pattern ModelView-Presenter (MVP). The MVP, an architectural software design pattern, facilitates automated unit tests as well as decoupling of the business logic, presentation logic and the graphical interface. Several models are implemented for analysing both elastic and quasi-elastic parts of the dynamical scattering function S(Q,omega) and intermediate scattering function I(Q, t). To understand the nature of dynamics in a QENS experiments, several models are also implemented for elastic incoherent structure factor (EISF) and jump diffusions. The interface has been validated by analysing a sample of liquid water at room temperature. The nature of hydrogen bond dynamics of the hydrogen bonded organic ferroelectric 2, 4, 5 - Br-3 imidazole, for the first time has been analysed using this newly implemented software. It is found that protons exhibit localised random motion in this material.;;;;;Mukhopadhyay, Sanghamitra/AAE-6149-2019;Mukhopadhyay, Sanghamitra/0000-0002-6501-4089;;;;;;;;;;;;;0921-4526;1873-2135;;;;JUN 15;2019;563;;;;;;41;49;;10.1016/j.physb.2019.02.041;http://dx.doi.org/10.1016/j.physb.2019.02.041;;;;;;;;;;;;;WOS:000464558000005;
J;"Bartoszuk, M; Gagolewski, M";;;;"Bartoszuk, Maciej; Gagolewski, Marek";;;SimilaR: R Code Clone and Plagiarism Detection;R JOURNAL;;;;;;;;;;;;Third-party software for assuring source code quality is becoming increasingly popular. Tools that evaluate the coverage of unit tests, perform static code analysis, or inspect run-time memory use are crucial in the software development life cycle. More sophisticated methods allow for performing meta-analyses of large software repositories, e.g., to discover abstract topics they relate to or common design patterns applied by their developers. They may be useful in gaining a better understanding of the component interdependencies, avoiding cloned code as well as detecting plagiarism in programming classes. A meaningful measure of similarity of computer programs often forms the basis of such tools. While there are a few noteworthy instruments for similarity assessment, none of them turns out particularly suitable for analysing R code chunks. Existing solutions rely on rather simple techniques and heuristics and fail to provide a user with the kind of sensitivity and specificity required for working with R scripts. In order to fill this gap, we propose a new algorithm based on a Program Dependence Graph, implemented in the SimilaR package. It can serve as a tool not only for improving R code quality but also for detecting plagiarism, even when it has been masked by applying some obfuscation techniques or imputing dead code. We demonstrate its accuracy and efficiency in a real-world case study.;;;;;Gagolewski, Marek/C-3575-2012;"Gagolewski, Marek/0000-0003-0637-6028; Bartoszuk, Maciej/0000-0001-6088-8273";;;;;;;;;;;;;2073-4859;;;;;JUN;2020;12;1;;;;;367;385;;;;;;;;;;;;;;;;WOS:000579493900023;
